Date,Prev Close,Open,High,Low,Close,Volume,,,,,
7/23/2001,43.6,41.65,44,41.65,44,105,,,,,
7/24/2001,44,35.5,43.5,35.5,39.95,4706,,,,,
7/25/2001,39.95,39.75,42.4,38.7,41.65,7239,,,,,
7/26/2001,41.65,42,42.35,40.65,42,3724,,,,,
7/27/2001,42,41.95,42.5,41.1,42.3,4703,,,,,
7/30/2001,42.3,40.1,42.25,40.1,41.45,3392,,,,,
7/31/2001,41.45,41.05,42.5,41.05,42,2776,,,,,
8/1/2001,42,42.05,43,42,42.45,4485,,,,,
8/2/2001,42.45,42.1,42.5,41.5,42.2,1867,,,,,
8/3/2001,42.2,43,43.15,42,43.05,4668,,,,,
8/6/2001,43.05,43,43.25,43,43,101101,,,,,
8/7/2001,43,43,43.5,42.5,42.8,6326,,,,,
8/8/2001,42.8,43.1,43.75,42.6,43.2,2770,,,,,
8/9/2001,43.2,43,43.4,43,43.3,1948,,,,,
8/10/2001,43.3,43.15,43.45,43,43,1384,,,,,
8/13/2001,43,44,44,43,43,1085,,,,,
8/14/2001,43,43.5,43.75,43,43,3931,,,,,
8/16/2001,43,43,43.9,43,43.1,4214,,,,,
8/17/2001,43.1,43,43.5,43,43,3985,,,,,
8/20/2001,43,43,43.4,43,43,785,,,,,
8/21/2001,43,43,43.45,43,43,1745,,,,,
8/23/2001,43,42.9,43.35,42.9,43,3205,,,,,
8/24/2001,43,43,43.25,43,43,2848,,,,,
8/27/2001,43,43,43.45,43,43.25,2794,,,,,
8/28/2001,43.25,43,43.25,43,43.05,2580,,,,,
8/29/2001,43.05,43.5,43.5,43,43.05,1331,,,,,
8/30/2001,43.05,43,43.25,43,43,1008,,,,,
8/31/2001,43,43,43.5,43,43.1,3622,,,,,
9/3/2001,43.1,43.85,44,43,43.15,3510,,,,,
9/4/2001,43.15,45.45,45.45,43,43,1051,,,,,
9/5/2001,43,43,43.25,43,43,2478,,,,,
9/6/2001,43,43.9,43.9,43,43,3770,,,,,
9/7/2001,43,43,43.4,43,43.15,2462,,,,,
9/10/2001,43.15,43,43.4,43,43,2664,,,,,
9/11/2001,43,43,43.35,42.5,43,15425,,,,,
9/12/2001,43,41.6,41.6,36,37.75,11878,,,,,
9/13/2001,37.75,38.5,38.9,37.75,37.75,3591,,,,,
9/14/2001,37.75,37.75,37.75,31.5,32.1,5307,,,,,
9/17/2001,32.1,30,30,26.5,27.3,14708,,,,,
9/18/2001,27.3,26.95,32.75,26,32.15,7843,,,,,
9/19/2001,32.15,32.1,36.9,32.05,35.75,7502,,,,,
9/20/2001,35.75,36,36.5,33,34.55,4826,,,,,
9/21/2001,34.55,34.55,41.5,34.55,37.8,17050,,,,,
9/24/2001,37.8,41.9,41.9,38,40,11490,,,,,
9/25/2001,40,40,40.2,40,40,8583,,,,,
9/26/2001,40,40.2,40.9,39.85,40.1,6456,,,,,
9/27/2001,40.1,40.2,41.5,40,40,3460,,,,,
9/28/2001,40,40.45,40.5,40,40.05,4639,,,,,
10/1/2001,40.05,40,40.1,40,40,3214,,,,,
10/3/2001,40,40.25,40.3,40,40,2431,,,,,
10/4/2001,40,40.05,40.25,40,40.05,2395,,,,,
10/5/2001,40.05,40,40.4,40,40.35,1739,,,,,
10/8/2001,40.35,38,40.5,38,40.1,8817,,,,,
10/9/2001,40.1,40,41.7,40,40.5,3332,,,,,
10/10/2001,40.5,40,40.9,40,40.85,1942,,,,,
10/11/2001,40.85,40.5,41,40,40.2,1955,,,,,
10/12/2001,40.2,40,40.05,37.75,38.75,2125,,,,,
10/15/2001,38.75,37.3,39,37.25,38,5746,,,,,
10/16/2001,38,37.05,40,37.05,39.8,3021,,,,,
10/17/2001,39.8,39.5,39.9,38.05,38.4,2279,,,,,
10/18/2001,38.4,38.2,38.85,38,38.45,1661,,,,,
10/19/2001,38.45,38.45,41,37.6,37.8,3285,,,,,
10/22/2001,37.8,38.5,40,38.1,39.15,4874,,,,,
10/23/2001,39.15,39,40.4,39,39.8,2970,,,,,
10/24/2001,39.8,40,40,39.05,39.25,1282,,,,,
10/25/2001,39.25,41.9,41.9,39.6,39.95,1940,,,,,
10/29/2001,39.95,40.25,41,38.75,39,1905,,,,,
10/30/2001,39,39.4,39.5,38.65,39,905,,,,,
10/31/2001,39,39,39.5,38.3,38.95,1150,,,,,
11/1/2001,38.95,38.5,38.95,38.05,38.55,730,,,,,
11/2/2001,38.55,37,39,37,38.25,2092,,,,,
11/5/2001,38.25,38,39.45,38,39.1,2738,,,,,
11/6/2001,39.1,39,40.1,38.5,39,7015,,,,,
11/7/2001,39,38.6,39.2,38.5,38.65,2006,,,,,
11/8/2001,38.65,37.65,39,37.6,38.55,6644,,,,,
